customer_id,customer_name,customer_segment,marital_status,gender,dob,effective_start_dt,effective_end_dt,policy_type_id,policy_type,policy_type_desc,policy_id,policy_name,premium_amt,policy_term,policy_start_dt,policy_end_dt,next_premium_dt,actual_premium_paid_dt,country,region,state_or_province,city,postal_code,total_policy_amt,premium_amt_paid_tilldate
1354,Aaron,Consumer,Divorced,Male,02/05/1997,12/31/2007,,19183,Endowment,Pay a lump sum on its maturity or on death.,19183_674,HSB_Endowment_19183,5000,Quarterly,12/30/2010,01/01/2112,03/30/2014,09/30/2014,USA,Central,Missouri,Raytown,64133,500000,60000
697,Adam,Corporate,Remarried,Male,02/05/1997,06/30/2011,,19184,Moneyback,The insured person gets a percentage of sum assured at regular intervals,19184_188,HSB_Moneyback_19184,5000,Quarterly,04/01/2012,12/27/2036,07/01/2015,07/01/2016,USA,Central,Texas,Gainesville,76240,500000,60000
674,Albert,Small Business,Married,Male,02/06/1993,12/31/2009,,19185,Childplan,Insurance cum investment plan to secure child's future,19185_3106,HSB_ChildPlan_19185,5000,Quarterly,12/31/2012,12/27/2035,03/31/2016,12/31/2016,USA,Central,Texas,Houston,77041,500000,60000
188,Alex,Corporate,Divorced,Male,02/05/1997,12/31/2010,,19186,Unitlinked,Market-linked product that aggregates the very best of investment and insurance,19186_597,HSB_UnitLinked_19186,5000,Quarterly,12/31/2013,12/27/2037,03/31/2017,12/31/2017,USA,Central,Indiana,Columbus,47201,500000,60000
3106,Alexander,Home Office,Remarried,Male,02/05/1996,12/31/2007,,19187,Annuityplan,Income stream for retirees,19187_2108,HSB_AnnuityPlan_19187,5000,Quarterly,12/30/2010,12/27/2037,03/30/2014,12/30/2014,USA,Central,Missouri,Mehlville,63129,500000,60000
597,Alexandra,Small Business,Married,Male,02/05/1998,12/30/2008,,19181,Termlife,Coverage for a certain period of time,19181_1354,HSB_Termclaim_23579,5000,Quarterly,12/31/2011,12/27/2036,03/31/2015,12/31/2015,USA,Central,Texas,Weatherford,76086,500000,60000
2108,Alfred,Corporate,Divorced,Male,02/05/1998,12/31/2009,,19182,Wholelife,Remain in force for the insured's entire lifetime,19182_697,HSB_WholeLife_22468,60000,Half Yearly,03/31/2015,01/01/2112,03/31/2016,12/31/2016,USA,Central,Indiana,East Chicago,46312,400000,120000
5678,Gaurav,Corporate,Married,Male,02/05/1998,01/31/2013,,19182,Wholelife,Remain in force for the insured's entire lifetime,19182_697,HSB_WholeLife_22468,60000,Half Yearly,03/31/2014,01/01/2112,03/31/2015,09/25/2015,USA,Central,Indiana,East Chicago,46312,400000,120000
6789,Atul,Corporate,Married,Male,02/05/1998,01/31/2013,,19182,Wholelife,Remain in force for the insured's entire lifetime,19182_697,HSB_WholeLife_22468,60000,Half Yearly,03/31/2014,01/01/2112,03/31/2015,09/25/2015,USA,Central,Indiana,East Chicago,46312,400000,120000
940,Mr. Albert Maxwell,Home Office,Divorced,Male,12/09/1992,12/31/2007,,19183,Endowment,Pay a lump sum on its maturity or on death.,19183_674,HSB_Endowment_19183,5000,Quarterly,12/31/2010,01/01/2112,03/31/2014,09/25/2014,USA,East,New York,New York City,10004,500000,60000
